"Tipo","Zona","Precio","Superficie","Habitaciones","Baños","Garaje","Trastero","Ascensor","Terraza","Amueblado","Chimenea","Piscina","Jardín","Descripción"
"Piso","Bailén-Miraflores","115000","69","2","1","0","0","0","0","1","0","0","0","Se vende piso en calle churruca, muy bien situado en el barrio de la trinidad con una superficie de 60 m2 distribuidos en salón, cocina, baño y 2 dormitorios.Ideal para pareja.Si estas buscando una vivienda de 2 dormitorios en la cual puedas vivir y pagar menos que un alquiler, esta es tu oportunidad. (te podemos gestionar la hipoteca al 100% en algunos casos).Ideal para apartamento turistico y rentabilizarlo.Cerca de colegios, tiendas, farmacia, restaurante.. . A 10 min de la estación de ave y a 15 min de la playa.No dudes en llamar y te informo de todo 655 58 16 04. Juan."
"Piso","Centro","295000","70","2","1","0","1","1","0","0","0","0","0","Vivienda en venta en Málaga zona Centro  histórico, 3ª planta, 65 metros, 2 dormitorios con 1 armario, 1 baño, salón, cocina amueblada con lavadero, todo eléctrico, suelos de tarima, ventanas de madera blanca, puertas de madera blanca, aire f/c, ascensor, trastero, terraza comunitaria, El piso esta reformado, esta en pleno centro pero es tranquilo."
"Ático","Este","477000","170","6","2","0","1","0","1","0","0","0","0","""tlf/ whatsapp (+34) 670,671,098. Encantadora vivienda,  llena de luz y posibilidades  junto a las mejores playas de málaga este, en  edificio representativo, ultima planta, terraza, ideal inversión, consúltenos las opciones. Se puede adaptar a academia, despacho o viviendas y con proyecto de ascensor.. 
Vivienda en ultima planta, ático , distribuida en varias estancias, consta de 5 dormitorios y un gran salón con vistas y terrazas, en edificio de gran carácter, junto a las  mejores playas de playa este, y a los colegios mas representativos de málaga,  parada de bus, en la misma calle , y todas las conexiones a su alcance. Ubicado en segunda planta de una bonita villa restaurada con patio y zonas comunes ajardinadas en la parcela. Gran inversión. Muy luminoso con vistas al mar y a la montaña. Se vende con proyecto de ascensor. 
 Certificados energéticos solicitados en trámite (en cumplimiento del rd de la junta de andalucía 218/2005 de 11 de octubre se informa a los sres. Consumidores que en los precios indicados no están incluidos los gastos derivados de la compra de inmuebles según las leyes vigentes, (itp, gastos notariales…). Consulte los gastos de gestión de la agencia a convenir con ella. Más información (+34) 670, 671, 098.""
 Publicado automáticamente desde  sistema de gestión inmobiliaria."
"Dúplex","Centro","1950000","190","3","3","1","1","1","1","0","0","0","0","ÚNICO - INMEJORABLE LOCALIZACION - EXCLUSIVO - TERRAZA CON PRECIOSAS VISTAS - CENTRICO - SUPER PRIVADOSin duda esta propiedad es de esas que transmiten y necesitan ser visitadas para experimentar nada más que agradables sensaciones : su luz, privacidad , sus magníficas vistas...Este ático duplex se ubica en la mejor zona posible si uno decide residir en el centro de Málaga.- amplias vistas despejadas al Parque- a un paso de : la Catedral, Muelle Uno, Aduana, Teatro Romano , Calle Larios,...- sin comercios o restaurantes que generen ruido- con aparcamiento y sin restricciones de accesibilidad a zona céntrica - máxima privacidad y exclusividad al tratarse de un edificio totalmente reformado con sólo 4 vecinos.Interiormente impecable, íntegramente reformado y con sumo gusto en la elección de materiales y acabados, sus 190 m2 se distribuyen en :- planta principal - 160 m2 -accedemos y la luz y la amplitud de hall distribuidor nos llama ya la atención ; al fondo y abierto llegamos a un gran salón comedor con tres grandes puertas que dan acceso a la terraza de unos 25 m2 descubierta; sin duda los espacios estrella de la propiedad ; aseo para invitados con elegantes acabados ; la cocina se encuentra totalmente equipada , es espaciosa y bien resulta y recibe mucha luz a través de un patio amplio interior; también en esta planta encontramos el dormitorio principal concebido como una suite de hotel , espaciosa , con un bonito baño con luz natural y un gran vestidor.-Planta superior - 30 m2 - nada más acceder por unas bonitas escaleras , encontramos una zona abierta a modo de salita o despacho que distribuye a dos dormitorios: uno simple , uno doble y un baño completo interior.De esta planta destacar especialmente los techos inclinados, y que funciona como zona muy privada y pudiera ser independiente de la planta inferior al contar con acceso directo de las zonas comunes.Destacar:- mejor orientación posible sin duda , SUR- techo altos- excelentes calidades en la selección de materiales y acabados- numerosos armarios empotrados - sistema de climatización - suelos de madera - carpintería climalit- puertas de paso  de marca italiana- trastero Cuota Comunidad.- 200 euros/mesImporte IBI anual.- 989,36 eurosLlámenos y le ampliaremos con gusto la información deseada, así como si deseara realizar una visita , siempre recomendable.MHM HOMESPersonal Home ShopperEncuentra más en http://mhm.witei.com"
"Casa","Ciudad Jardín","126000","90","3","1","0","0","0","1","0","0","0","0","Casa mata en venta en Ciudad Jardín situada en una calle ubicada a 50 metros de la avenida principal por la zona de la calle María Tubau. Magnífica ubicación!!!  La casa  está en una zona idónea, con acceso a las carreteras principales y autovías que conectan con cualquier lugar de Málaga, repleta de comercios, supermercados, colegios y cualquier tipo de servicios.Está distribuida en 2 plantas con una  superficie de 90m2 construidos, necesita reformas. ! ES IDEAL PARA CONSTRUIR LA CASA DE TUS SUEÑOS!Se distribuye en Planta baja con salón comedor, cocina con salida a patio y lavadero y  baño. Planta alta  3 dormitorios y Terraza.Calidades de la vivienda: suelos en terrazo, ventanas en aluminio y madera, la puerta principal es de hierro y el calentador de gas butano. La vivienda se encuentra orientada al este muy luminosa y soleada.La gran oportunidad que estabas buscando para disfrutar de una magnífica vivienda en una de las mejores zonas de Málaga.GRAN OCASIÓN ESTUPENDA SITUACIÓN !!!  Si necesita solicitar una hipoteca, asesórese con nuestro departamento financiero sin ningún compromiso.(* Certificación energética en trámites) Real Decreto 235/2013, de 5 de abril, por el que se aprueba el procedimiento Básico para la certificación de la eficiencia energética de las viviendas y edificios Decreto Junta de Andalucía 218 / 2005 del 11 de Octubre, se informa a los clientes que los gastos notariales, registrales, los de gestoría, los impuestos (ITP, AJD o IVA), los honorarios de intermediación y otros gastos inherentes a la compra, no están incluidos en el precio. ** Validez de precios 7 días, sujeto a disponibilidades y confirmación por propietarios. Las propiedades pueden ser sujetas a cambio de precio, venta o retirada del mercado. * * Datos que serán facilitados a la parte compradora en la formalización de la compra de este inmueble en contrato ( R. G. P. D)."
"Chalet","Este","830000","250","5","3","0","1","0","1","0","0","0","0","Houseclick.es - llamada o whastapp +34 689 44 39 24 e: info@houseclick.es
Fantástico chalet individual en la urbanización del candado.
La casa está situada sobre una parcela de 1000 m. Construida  en una sola planta.
Tiene 250 construidos , 5 dormitorios, 3 baños, (tanto los dormitorios como los baños son exteriores). Un amplio salón  en dos alturas con acceso a una bonita terraza, desde la que podemos disfrutar en unas maravillosas vistas al mar. Desde la cocina se sale a zona de barbacoa con un estupendo porche y preciosas vistas al mar.
2 garajes,  (en uno de ellos se encuentra un  ascensor con acceso a la casa.
Houseclick.es cuenta con un equipo de especialistas que podrá ofrecerle un servicio totalmente personalizado y asesorarle en todo lo que necesite: asesoramiento jurídico, golden visa, hipotecas, proyectos de reformas, interiorismo, licencias, certificados energéticos, tasaciones.."
"Chalet","Este","590000","258","5","2","1","0","0","0","0","0","0","0","Se trata de una vivienda unifamiliar , construida en 1966 en una de las mejores zonas de la capital Malagueña.Independientemente de la necesidad de reforma, Se desarrolla en planta baja, distribuyéndose la misma ensalón, cocina comedor, cuarto costura, 3 dormitorios, baño, aseo y distribuidor. Además de un anexodestinado a lavadero (éste se encuentra a reformar).Desde unas escaleras de caracol exteriores se accede a una planta alta donde se ubica un apartamentoindependiente que consta de salón, cocina, dormitorio y baño; además de una amplia terraza.La parcela no ocupada por la edificación se destina a jardín, piscina, pérgola y zona de huerto (separado) #ref:F0040 - F0040 - Solerhome."
"Piso","Centro","439000","137","3","2","0","0","1","1","0","0","0","0","Piso a reformar en pleno Soho, zona rodeada de todo tipo de establecimientos, Centros Comerciales, Estación de AVE, a un paso del Centro Histórico, etc...Vivienda situada en una zona señorial. Este piso consta de 137 metros cuadrados distribuidos en 3 dormitorios, 1 baños completos, 1 aseo salón - comedor muy amplio, cocina independiente - lavadero. El bloque también nos ofrece un portero. No dudes en contactar con nosotros y venir a visitarlo. REF. ABA0016."
"Piso","Carretera de Cádiz","327000","90","2","2","1","0","1","1","0","0","1","1","Vivienda en Málaga, zona Martin Carpena, 4ª planta  90 metros, 2 dormitorios con armarios empotrados, 2 baños 1 en suite, salón con terraza  con lumon, cocina amueblada con lavadero, gas natural, aire f/c centralizada, ascensor, suelos de tarima, orientación O/s, Garaje, recinto cerrado con jardín , Piscina, zona de juegos, la vivienda esta construida  en 2006, gastos de comunidad 72€, Piso luminoso, con servicios de transporte publico, metro, hospital Quirón, colegios, instituto,playa"
"Piso","Centro","115000","69","2","1","0","0","0","0","0","0","0","0","Se vende piso en la zona de la Trinidad, es una TERCERA PLANTA SIN ASCENSOR.   Oportunidad para invertir en este inmueble y destinarlo como piso en alquiler turístico, situado en una zona consolidada muy cerca de colegios, farmacia, restaurantes, a 10 minutos a pie de la estación de Ave.  Cuenta con 2 dormitorios y 1 baño. Cocina independiente amplia y equipada, incluye electrodomésticos.   Dimensión: 59 m2 útiles.  No dudes en contactar con nosotros para concertar una visita 951 73 06 78 // 641 14 15 44  En cumplimiento del Decreto de la Junta de Andalucía 2182005 del 11 de Octubre se informa al cliente que los gastos notariales, registrales, ITP y otros gastos inherentes a la compra no están incluidos en el precio de venta."
